five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-41.177.40.117:8535-TCP,1261068074.794644,48,244.3.160.239,41.177.40.117,80,8535,TCP,244.3.160.239-41.177.40.117,7,672,41.900696992874146
244.3.160.239:80-41.177.40.117:15835-TCP,1261068116.695341,48,244.3.160.239,41.177.40.117,80,15835,TCP,244.3.160.239-41.177.40.117,3,503,1.8739099502563477
244.3.160.239:80-41.177.40.117:2941-TCP,1261068118.569251,48,244.3.160.239,41.177.40.117,80,2941,TCP,244.3.160.239-41.177.40.117,8,4463,0.9028189182281494
244.3.160.239:80-41.177.40.117:2931-TCP,1261068119.47207,48,244.3.160.239,41.177.40.117,80,2931,TCP,244.3.160.239-41.177.40.117,812,1079113,17.497616052627563
244.3.160.239:80-41.177.40.117:4677-TCP,1261068136.969686,48,244.3.160.239,41.177.40.117,80,4677,TCP,244.3.160.239-41.177.40.117,7,481,63.500957012176514
244.3.160.239:80-41.177.40.117:16128-TCP,1261068200.470643,48,244.3.160.239,41.177.40.117,80,16128,TCP,244.3.160.239-41.177.40.117,7,672,43.72851085662842
244.3.160.239:80-41.177.40.117:15836-TCP,1261068244.199154,48,244.3.160.239,41.177.40.117,80,15836,TCP,244.3.160.239-41.177.40.117,3,503,0.5759961605072021
244.3.160.239:80-41.177.40.117:8359-TCP,1261068244.77515,48,244.3.160.239,41.177.40.117,80,8359,TCP,244.3.160.239-41.177.40.117,8,4471,0.9452309608459473
244.3.160.239:80-41.177.40.117:10354-TCP,1261068245.720381,48,244.3.160.239,41.177.40.117,80,10354,TCP,244.3.160.239-41.177.40.117,984,1308963,18.64181089401245
244.3.160.239:80-41.177.40.117:9554-TCP,1261068264.362192,48,244.3.160.239,41.177.40.117,80,9554,TCP,244.3.160.239-41.177.40.117,7,481,82.2874321937561
244.3.160.239:80-41.177.40.117:12476-TCP,1261068346.649624,48,244.3.160.239,41.177.40.117,80,12476,TCP,244.3.160.239-41.177.40.117,7,671,53.22107481956482
244.3.160.239:80-41.177.40.117:9390-TCP,1261068399.870699,48,244.3.160.239,41.177.40.117,80,9390,TCP,244.3.160.239-41.177.40.117,3,503,0.5433399677276611
244.3.160.239:80-41.177.40.117:12321-TCP,1261068400.414039,48,244.3.160.239,41.177.40.117,80,12321,TCP,244.3.160.239-41.177.40.117,8,4429,0.8481051921844482
244.3.160.239:80-41.177.40.117:14987-TCP,1261068401.262144,48,244.3.160.239,41.177.40.117,80,14987,TCP,244.3.160.239-41.177.40.117,1572,2091717,18.79293990135193
244.3.160.239:80-41.177.40.117:7139-TCP,1261068420.055084,48,244.3.160.239,41.177.40.117,80,7139,TCP,244.3.160.239-41.177.40.117,7,481,149.62211108207703
244.3.160.239:80-41.177.40.117:5495-TCP,1261068569.677195,48,244.3.160.239,41.177.40.117,80,5495,TCP,244.3.160.239-41.177.40.117,7,671,79.31278491020203
244.3.160.239:80-41.177.40.117:15714-TCP,1261068648.98998,48,244.3.160.239,41.177.40.117,80,15714,TCP,244.3.160.239-41.177.40.117,3,503,0.7713351249694824
244.3.160.239:80-41.177.40.117:13684-TCP,1261068649.761315,48,244.3.160.239,41.177.40.117,80,13684,TCP,244.3.160.239-41.177.40.117,8,4403,0.8326787948608398
244.3.160.239:80-41.177.40.117:14085-TCP,1261068650.593994,48,244.3.160.239,41.177.40.117,80,14085,TCP,244.3.160.239-41.177.40.117,1470,1955039,18.34950304031372
244.3.160.239:80-41.177.40.117:8777-TCP,1261068668.943497,48,244.3.160.239,41.177.40.117,80,8777,TCP,244.3.160.239-41.177.40.117,7,481,138.494323015213
244.3.160.239:80-41.177.40.117:9563-TCP,1261068807.43782,48,244.3.160.239,41.177.40.117,80,9563,TCP,244.3.160.239-41.177.40.117,7,672,73.66527199745178
244.3.160.239:80-41.177.40.117:11951-TCP,1261068881.103092,48,244.3.160.239,41.177.40.117,80,11951,TCP,244.3.160.239-41.177.40.117,3,503,0.5364060401916504
244.3.160.239:80-41.177.40.117:2762-TCP,1261068881.639498,48,244.3.160.239,41.177.40.117,80,2762,TCP,244.3.160.239-41.177.40.117,8,4406,0.8541650772094727
244.3.160.239:80-41.177.40.117:15225-TCP,1261068882.493663,48,244.3.160.239,41.177.40.117,80,15225,TCP,244.3.160.239-41.177.40.117,1528,2032687,18.533581018447876
244.3.160.239:80-41.177.40.117:2325-TCP,1261068901.027244,48,244.3.160.239,41.177.40.117,80,2325,TCP,244.3.160.239-41.177.40.117,7,481,144.9809160232544
244.3.160.239:80-41.177.40.117:7955-TCP,1261069046.00816,48,244.3.160.239,41.177.40.117,80,7955,TCP,244.3.160.239-41.177.40.117,7,672,77.75289177894592
244.3.160.239:80-41.177.40.117:13683-TCP,1261069123.761052,48,244.3.160.239,41.177.40.117,80,13683,TCP,244.3.160.239-41.177.40.117,3,503,0.5127551555633545
244.3.160.239:80-41.177.40.117:2667-TCP,1261069124.273807,48,244.3.160.239,41.177.40.117,80,2667,TCP,244.3.160.239-41.177.40.117,8,4430,0.8039059638977051
244.3.160.239:80-41.177.40.117:11336-TCP,1261069125.077713,48,244.3.160.239,41.177.40.117,80,11336,TCP,244.3.160.239-41.177.40.117,1316,1750048,18.682244062423706
244.3.160.239:80-41.177.40.117:11776-TCP,1261069143.759957,48,244.3.160.239,41.177.40.117,80,11776,TCP,244.3.160.239-41.177.40.117,7,481,122.29799699783325
244.3.160.239:80-41.177.40.117:8406-TCP,1261069266.057954,48,244.3.160.239,41.177.40.117,80,8406,TCP,244.3.160.239-41.177.40.117,7,672,65.3730309009552
244.3.160.239:80-41.177.40.117:5154-TCP,1261069331.430985,48,244.3.160.239,41.177.40.117,80,5154,TCP,244.3.160.239-41.177.40.117,3,503,0.517038106918335
244.3.160.239:80-41.177.40.117:10900-TCP,1261069331.948023,48,244.3.160.239,41.177.40.117,80,10900,TCP,244.3.160.239-41.177.40.117,8,4439,0.8022918701171875
