size,cdf
2900000,0.9997968139632631
3000000,0.9998087660830712
3100000,0.9998207182028792
3200000,0.9998386463825913
3300000,0.9998466144624634
3400000,0.9998505985023994
3500000,0.9998545825423354
3600000,0.9998585665822715
3700000,0.9998665346621435
3800000,0.9998685266821115
3900000,0.9998725107220475
4000000,0.9998784867819515
4100000,0.9998804788019195
4200000,0.9998804788019195
4300000,0.9998804788019195
4400000,0.9998864548618235
4500000,0.9998864548618235
4600000,0.9998884468817916
4700000,0.9998964149616636
4800000,0.9999003990015995
4900000,0.9999023910215676
5000000,0.9999023910215676
5100000,0.9999083670814716
5200000,0.9999103591014397
5300000,0.9999103591014397
5400000,0.9999123511214076
5500000,0.9999143431413756
5600000,0.9999143431413756
5700000,0.9999143431413756
5800000,0.9999143431413756
5900000,0.9999163351613437
6000000,0.9999163351613437
6100000,0.9999163351613437
6200000,0.9999163351613437
6300000,0.9999163351613437
6400000,0.9999183271813117
6500000,0.9999203192012797
6600000,0.9999203192012797
6700000,0.9999203192012797
6800000,0.9999223112212476
6900000,0.9999223112212476
7000000,0.9999223112212476
7100000,0.9999223112212476
7200000,0.9999223112212476
7300000,0.9999223112212476
7400000,0.9999223112212476
7500000,0.9999223112212476
7600000,0.9999223112212476
7700000,0.9999223112212476
7800000,0.9999223112212476
7900000,0.9999223112212476
8000000,0.9999223112212476
8100000,0.9999223112212476
8200000,0.9999223112212476
8300000,0.9999223112212476
8400000,0.9999243032412157
8500000,0.9999243032412157
8600000,0.9999243032412157
8700000,0.9999243032412157
8800000,0.9999243032412157
8900000,0.9999262952611837
9000000,0.9999262952611837
9100000,0.9999262952611837
9200000,0.9999262952611837
9300000,0.9999262952611837
9400000,0.9999262952611837
9500000,0.9999262952611837
9600000,0.9999262952611837
9700000,0.9999262952611837
9800000,0.9999262952611837
9900000,0.9999262952611837
10000000,0.9999262952611837
10100000,0.9999262952611837
10200000,0.9999262952611837
10300000,0.9999282872811517
10400000,0.9999282872811517
10500000,0.9999282872811517
10600000,0.9999282872811517
10700000,0.9999282872811517
10800000,0.9999282872811517
10900000,0.9999282872811517
11000000,0.9999322713210878
11100000,0.9999322713210878
11200000,0.9999322713210878
11300000,0.9999342633410557
11400000,0.9999342633410557
11500000,0.9999342633410557
11600000,0.9999342633410557
11700000,0.9999362553610237
11800000,0.9999362553610237
11900000,0.9999362553610237
12000000,0.9999362553610237
12100000,0.9999362553610237
12200000,0.9999362553610237
12300000,0.9999362553610237
12400000,0.9999362553610237
12500000,0.9999402394009598
12600000,0.9999402394009598
